"DATE","MON FLO AF","","MON FNF AF","","IRR&CNS AF",""
"10/1960","375,100","","281,000","","--",""
"11/1960","383,300","","423,200","","--",""
"12/1960","537,400","","964,500","","--",""
"01/1961","402,400","","575,600","","--",""
"02/1961","1,029,000","","1,344,200","","--",""
"03/1961","986,400","","1,042,500","","--",""
"04/1961","528,000","","691,400","","--",""
"05/1961","536,700","","626,900","","--",""
"06/1961","589,200","","417,700","","--",""
"07/1961","696,000","","283,300","","--",""
"08/1961","672,500","","259,100","","--",""
"09/1961","443,200","","255,700","","--",""
"10/1961","368,000","","283,000","","--",""
"11/1961","378,700","","425,200","","--",""
"12/1961","501,600","","829,500","","--",""
"01/1962","327,900","","477,400","","--",""
"02/1962","947,400","","1,860,800","","--",""
"03/1962","715,900","","1,100,200","","--",""
"04/1962","398,400","","772,100","","--",""
"05/1962","526,500","","564,200","","--",""
"06/1962","574,200","","381,600","","--",""
"07/1962","639,500","","273,800","","--",""
"08/1962","656,400","","250,500","","--",""
"09/1962","433,700","","244,700","","--",""
"10/1962","578,500","","897,700","","--",""
"11/1962","398,400","","400,000","","--",""
"12/1962","837,200","","918,200","","--",""
"01/1963","620,000","","558,100","","--",""
"02/1963","1,105,000","","1,360,200","","--",""
"03/1963","500,200","","912,500","","--",""
"04/1963","1,793,000","","2,401,600","","--",""
"05/1963","856,400","","1,032,800","","--",""
"06/1963","562,900","","476,300","","--",""
"07/1963","638,900","","347,000","","--",""
"08/1963","655,900","","308,900","","--",""
"09/1963","659,900","","286,100","","--",""
"10/1963","521,800","","353,000","","--",""
"11/1963","644,700","","699,400","","--",""
"12/1963","668,300","","400,200","","--",""
"01/1964","686,800","","850,400","","--",""
"02/1964","578,500","","473,300","","--",""
"03/1964","383,100","","451,200","","--",""
"04/1964","495,400","","470,100","","--",""
"05/1964","532,100","","414,600","","--",""
"06/1964","599,300","","404,200","","--",""
"07/1964","745,800","","246,400","","--",""
"08/1964","724,600","","223,300","","--",""
"09/1964","522,700","","232,000","","--",""
"10/1964","356,300","","263,300","","--",""
"11/1964","401,100","","498,200","","--",""
"12/1964","1,613,000","","2,500,100","","--",""
"01/1965","2,149,000","","2,088,900","","--",""
"02/1965","829,900","","803,500","","--",""
"03/1965","359,900","","592,900","","--",""
"04/1965","733,700","","1,631,800","","--",""
"05/1965","661,400","","681,500","","--",""
"06/1965","576,300","","405,700","","--",""
"07/1965","691,400","","330,100","","--",""
"08/1965","711,700","","296,700","","--",""
"09/1965","558,900","","266,900","","--",""
"10/1965","521,100","","282,500","","--",""
"11/1965","675,800","","724,700","","--",""
"12/1965","846,900","","485,100","","--",""
"01/1966","1,197,000","","1,121,200","","--",""
"02/1966","659,700","","949,500","","--",""
"03/1966","597,300","","1,186,400","","--",""
"04/1966","567,300","","912,600","","--",""
"05/1966","605,900","","490,200","","--",""
"06/1966","676,400","","337,200","","--",""
"07/1966","842,400","","275,200","","--",""
"08/1966","779,300","","254,200","","--",""
"09/1966","482,700","","259,100","","--",""
"10/1966","477,800","","253,100","","--",""
"11/1966","662,800","","690,800","","--",""
"12/1966","1,490,000","","1,279,300","","--",""
"01/1967","1,060,000","","1,405,500","","--",""
"02/1967","1,289,000","","1,083,000","","--",""
"03/1967","607,600","","1,338,300","","--",""
"04/1967","1,176,000","","1,543,600","","--",""
"05/1967","1,205,000","","1,273,100","","--",""
"06/1967","907,600","","714,100","","--",""
"07/1967","817,800","","375,000","","--",""
"08/1967","778,100","","293,700","","--",""
"09/1967","656,800","","260,900","","--",""
"10/1967","598,500","","303,100","","--",""
"11/1967","475,100","","302,000","","--",""
"12/1967","590,900","","436,900","","--",""
"01/1968","734,100","","763,800","","--",""
"02/1968","1,394,000","","1,668,100","","--",""
"03/1968","850,100","","1,060,500","","--",""
"04/1968","571,600","","597,300","","--",""
"05/1968","600,300","","500,200","","--",""
"06/1968","671,600","","343,000","","--",""
"07/1968","873,500","","306,000","","--",""
"08/1968","794,000","","327,400","","--",""
"09/1968","624,200","","300,900","","--",""
"10/1968","487,900","","321,100","","--",""
"11/1968","469,400","","355,600","","--",""
"12/1968","766,000","","980,200","","--",""
"01/1969","2,092,000","","2,548,600","","--",""
"02/1969","2,221,000","","2,209,000","","--",""
"03/1969","878,300","","1,306,800","","--",""
"04/1969","704,600","","1,482,100","","--",""
"05/1969","989,200","","1,071,800","","--",""
"06/1969","898,700","","538,700","","--",""
"07/1969","769,000","","361,300","","--",""
"08/1969","740,800","","293,100","","--",""
"09/1969","579,400","","328,900","","--",""
"10/1969","518,200","","355,500","","--",""
"11/1969","494,100","","329,800","","--",""
"12/1969","1,468,000","","1,485,500","","--",""
"01/1970","3,755,000","","4,535,800","","--",""
"02/1970","2,159,000","","1,369,000","","--",""
"03/1970","784,400","","1,232,600","","--",""
"04/1970","563,200","","560,900","","--",""
"05/1970","585,400","","513,700","","--",""
"06/1970","613,300","","411,000","","--",""
"07/1970","664,300","","323,000","","--",""
"08/1970","585,900","","305,900","","--",""
"09/1970","486,600","","288,100","","--",""
"10/1970","455,700","","343,450","","--",""
"11/1970","922,000","","1,032,350","","--",""
"12/1970","1,999,000","","1,704,530","","--",""
