"DATE","STORAGE AF","","RAIN INCHES","","LK EVAP AF",""
"10/1960","2,627,600","","0.53","","6,080",""
"11/1960","2,662,300","","8.29","","2,740",""
"12/1960","3,082,300","","13.04","","3,100",""
"01/1961","3,247,100","","8.70","","2,380",""
"02/1961","3,552,200","","6.51","","3,110",""
"03/1961","3,597,300","","8.51","","3,980",""
"04/1961","3,714,300","","0.98","","9,420",""
"05/1961","3,741,900","","3.32","","8,610",""
"06/1961","3,500,000","","1.00","","14,420",""
"07/1961","3,026,200","","0.21","","18,070",""
"08/1961","2,565,200","","0.05","","12,570",""
"09/1961","2,333,000","","0.38","","9,750",""
"10/1961","2,213,400","","1.25","","6,080",""
"11/1961","2,254,300","","11.49","","3,180",""
"12/1961","2,576,400","","9.48","","1,830",""
"01/1962","2,716,700","","4.35","","3,220",""
"02/1962","3,621,200","","20.77","","2,020",""
"03/1962","3,994,300","","9.11","","4,150",""
"04/1962","4,320,100","","0.82","","10,860",""
"05/1962","4,292,700","","0.41","","11,080",""
"06/1962","4,026,100","","0.07","","18,050",""
"07/1962","3,597,600","","0.00","","19,830",""
"08/1962","3,143,000","","1.19","","13,690",""
"09/1962","2,908,000","","1.52","","10,980",""
"10/1962","3,193,300","","10.92","","5,340",""
"11/1962","3,189,000","","3.62","","3,410",""
"12/1962","3,262,900","","6.82","","3,170",""
"01/1963","3,191,600","","4.00","","3,390",""
"02/1963","3,437,600","","6.97","","2,240",""
"03/1963","3,838,200","","9.20","","4,700",""
"04/1963","4,404,700","","13.99","","5,090",""
"05/1963","4,498,700","","1.97","","9,120",""
"06/1963","4,337,500","","0.23","","15,530",""
"07/1963","3,985,800","","0.00","","17,180",""
"08/1963","3,589,400","","0.01","","14,380",""
"09/1963","3,242,000","","0.18","","10,070",""
"10/1963","3,111,000","","3.82","","4,940",""
"11/1963","3,208,200","","16.43","","2,510",""
"12/1963","2,989,400","","1.63","","1,630",""
"01/1964","3,206,300","","8.78","","1,850",""
"02/1964","3,161,000","","0.17","","5,370",""
"03/1964","3,276,100","","2.99","","4,880",""
"04/1964","3,301,400","","0.34","","8,690",""
"05/1964","3,221,100","","1.00","","9,270",""
"06/1964","3,123,400","","1.41","","10,260",""
"07/1964","2,749,200","","0.10","","13,620",""
"08/1964","2,389,000","","0.00","","12,680",""
"09/1964","2,202,200","","0.27","","8,200",""
"10/1964","2,186,500","","4.41","","6,020",""
"11/1964","2,350,800","","14.67","","1,660",""
"12/1964","3,254,700","","30.49","","2,060",""
"01/1965","3,249,000","","9.56","","2,600",""
"02/1965","3,270,800","","1.29","","3,810",""
"03/1965","3,561,400","","1.06","","5,850",""
"04/1965","4,422,800","","13.20","","5,280",""
"05/1965","4,488,900","","0.31","","13,680",""
"06/1965","4,406,800","","0.14","","13,630",""
