Year,Reconstructed_Flow_AF
900,2269190
901,4156731
902,2265308
903,3449882
904,3408617
905,3219012
906,3588241
907,2179821
908,2010199
909,2354613
910,4054913
911,3816849
912,2957596
913,1283607
914,4687287
915,1313275
916,3952702
917,2990904
918,1732099
919,2637604
920,3310146
921,1815093
922,2708985
923,2128326
924,1385886
925,3394057
926,3492546
927,2870296
928,1740382
929,1664038
930,1287368
931,3194342
932,1781581
933,1453250
934,3290895
935,2821306
936,1808126
937,3593531
938,1628322
939,2279321
940,3364714
941,3413708
942,1862157
943,2062161
944,2890048
945,2084234
946,2448841
947,1954293
948,1797225
949,1982072
950,2329020
951,3646152
952,1668161
953,2621908
954,1063769
955,2827710
956,3616324
957,791546
958,2119387
959,3231730
960,3224101
961,1224504
962,1522362
963,3525399
964,2477052
965,2568192
966,2299380
967,2492043
968,4116153
969,1590476
970,4564198
971,1820407
972,3195838
973,3869774
974,4210787
975,1631178
976,3498090
977,2435019
978,1586554
979,987045
980,2665907
981,1432041
982,2627559
983,1509824
984,3353614
985,3879016
986,1277946
987,2969080
988,3444362
989,2997199
990,2729156
991,3901135
992,3570707
993,4089378
994,2796516
995,2092062
996,2974068
997,4249490
998,3372678
999,2720222
1000,3944970
1001,3942194
1002,4110672
1003,4280384
1004,3538239
1005,2764761
1006,4747963
1007,3175962
1008,4097267
1009,4032160
1010,2707572
1011,4044685
1012,1468902
1013,4114356
1014,3112303
1015,4359136
1016,4117087
1017,3278564
1018,2812218
1019,4749074
1020,3616951
1021,2732527
1022,2716635
1023,4929410
1024,3955832
1025,1518333
1026,4300321
1027,3537786
1028,2536708
1029,3154916
1030,2809705
1031,4119479
1032,2352779
1033,3648925
1034,3928939
1035,1764417
1036,4294088
1037,2852218
1038,2817238
1039,1968042
1040,1813627
1041,4061385
1042,3754994
1043,1470670
1044,1974508
1045,4090453
1046,2622645
1047,1869057
1048,2464619
1049,2776947
1050,2194238
1051,2902155
1052,1416098
1053,2015612
1054,4067163
1055,1532745
1056,2530340
1057,3192325
1058,2236609
1059,1061529
1060,1213316
1061,3176286
1062,1955862
1063,2317278
1064,4095799
1065,3036953
1066,2031306
1067,3111930
1068,3975373
1069,1862962
1070,1111568
1071,4071439
1072,1290867
