WY,oro_peak_cfs
1902,38100.0
1903,93000.0
1904,106000.0
1905,68400.0
1906,96300.0
1907,187000.0
1908,16300.0
1909,137000.0
1910,31000.0
1911,75400.0
1912,16400.0
1913,10800.0
1914,88110.0
1915,44010.0
1916,43090.0
1917,73110.0
1918,28570.0
1919,46330.0
1920,21380.0
1921,51790.0
1922,25150.0
1923,16130.0
1924,32790.0
1925,51080.0
1926,46650.0
1927,82290.0
1928,125170.0
1929,12050.0
1930,77700.0
1931,9730.0
1932,18570.0
1933,
1934,16970.0
1935,53310.0
1936,57070.0
1937,15620.0
1938,158980.0
1939,6270.0
1940,134760.0
1941,73310.0
1942,89120.0
1943,65060.0
1944,18740.0
1945,47630.0
1946,46420.0
1947,32260.0
1948,33320.0
1949,13490.0
1950,40460.0
1951,69880.0
1952,47150.0
1953,98850.0
1954,48140.0
1955,8350.0
1956,181530.0
1957,63110.0
1958,76630.0
1959,28720.0
1960,99130.0
1961,15720.0
1962,36020.0
1963,136200.0
1964,20470.0
1965,178550.0
1966,13370.0
1967,54280.0
1968,40150.0
1969,137080.0
1970,117680.0
1971,64380.0
1972,19990.0
1973,48340.0
1974,108250.0
1975,31920.0
1976,12080.0
1977,4290.0
1978,54950.0
1979,23410.0
1980,137620.0
1981,18860.0
1982,98900.0
1983,98770.0
1984,74710.0
1985,17550.0
1986,217020.0
1987,30980.0
1988,18756.0
1989,86723.0
1990,14726.0
1991,49728.0
1992,24208.0
1993,59057.0
1994,9457.0
1995,134188.0
1996,57809.0
1997,312893.0
1998,56746.0
1999,58415.0
2000,62403.0
2001,9213.0
2002,22023.0
2003,42724.0
2004,66037.0
2005,23885.0
2006,137709.0
2007,32036.0
2008,14473.0
2009,48370.0
2010,23542.0
2011,45958.0
2012,50162.0
2013,92759.0
2014,23665.0
2015,34843.0
2016,68063.0
2017,175615.0
2018,70547.0
2019,60037.0
2020,13357.0
2021,8485.0
2022,53386.0
